season,team,team_name,logo
2021-22,3,Arsenal,https://resources.premierleague.com/premierleague/badges/t3.png
2021-22,7,Aston Villa,https://resources.premierleague.com/premierleague/badges/t7.png
2021-22,91,Bournemouth,https://resources.premierleague.com/premierleague/badges/t91.png
2021-22,94,Brentford,https://resources.premierleague.com/premierleague/badges/t94.png
2021-22,36,Brighton,https://resources.premierleague.com/premierleague/badges/t36.png
2021-22,8,Chelsea,https://resources.premierleague.com/premierleague/badges/t8.png
2021-22,31,Crystal Palace,https://resources.premierleague.com/premierleague/badges/t31.png
2021-22,11,Everton,https://resources.premierleague.com/premierleague/badges/t11.png
2021-22,54,Fulham,https://resources.premierleague.com/premierleague/badges/t54.png
2021-22,13,Leicester,https://resources.premierleague.com/premierleague/badges/t13.png
2021-22,2,Leeds,https://resources.premierleague.com/premierleague/badges/t2.png
2021-22,14,Liverpool,https://resources.premierleague.com/premierleague/badges/t14.png
2021-22,43,Man City,https://resources.premierleague.com/premierleague/badges/t43.png
2021-22,1,Man Utd,https://resources.premierleague.com/premierleague/badges/t1.png
2021-22,4,Newcastle,https://resources.premierleague.com/premierleague/badges/t4.png
2021-22,17,Nottingham,https://resources.premierleague.com/premierleague/badges/t17.png
2021-22,20,Southampton,https://resources.premierleague.com/premierleague/badges/t20.png
2021-22,6,Spurs,https://resources.premierleague.com/premierleague/badges/t6.png
2021-22,21,West Ham,https://resources.premierleague.com/premierleague/badges/t21.png
2021-22,39,Wolves,https://resources.premierleague.com/premierleague/badges/t39.png
